Stop Name,Ridership,Daytime Routes
138 St-Grand Concourse,"2,127",4 5
149 St-Grand Concourse,"5,873",2 4 5
161 St-Yankee Stadium,"12,374",B D 4
167 St,"5,066",4
167 St,"4,723",B D
170 St,"4,039",4
170 St,"3,468",B D
174 St,"3,437",2 5
174-175 Sts,"2,727",B D
176 St,"2,980",4
182-183 Sts,"2,535",B D
183 St,"3,269",4
219 St,"1,570",2 5
225 St,"1,918",2 5
231 St,"4,786",1
233 St,"2,546",2 5
238 St,"2,204",1
3 Av-138 St,"4,326",6
3 Av-149 St,"10,558",2 5
Allerton Av,"2,685",2 5
Baychester Av,"1,661",5
Bedford Park Blvd,"3,492",B D
Bedford Park Blvd-Lehman College,"2,553",4
Bronx Park East,"1,352",2 5
Brook Av,"3,350",6
Buhre Av,"1,960",6
Burke Av,"1,700",2 5
Burnside Av,"5,076",4
Castle Hill Av,"3,402",6
Cypress Av,"1,718",6
East 143 St-St Mary's St,688,6
East 149 St,"2,724",6
East 180 St,"3,829",2 5
Eastchester-Dyre Av,"2,300",5
Elder Av,"3,662",6
Fordham Rd,"5,666",4
Fordham Rd,"5,766",B D
Freeman St,"2,373",2 5
Gun Hill Rd,"3,470",2 5
Gun Hill Rd,"2,579",5
Hunts Point Av,"5,676",6
Intervale Av,"1,752",2 5
Jackson Av,"2,664",2 5
Kingsbridge Rd,"4,719",4
Kingsbridge Rd,"3,788",B D
Longwood Av,"1,859",6
Middletown Rd,993,6
Morris Park,"1,302",5
Morrison Av-Soundview,"3,537",6
Mosholu Pkwy,"4,585",4
Mt Eden Av,"2,890",4
Nereid Av,"1,757",2 5
Norwood-205 St,"4,441",D
Parkchester,"7,754",6
Pelham Bay Park,"3,301",6
Pelham Pkwy,"4,473",2 5
Pelham Pkwy,"1,591",5
Prospect Av,"3,618",2 5
Simpson St,"4,371",2 5
St. Lawrence Ave.,"2,229",6
Tremont Av,"4,843",B D
Van Cortlandt Park-242 St,"3,681",1
Wakefield-241 St,"2,427",2
West Farms Sq-East Tremont Av,"3,389",2 5
Westchester Sq-East Tremont Av,"3,157",6
Whitlock Av,"1,087",6
Woodlawn,"3,542",4
Zerega Av,"1,331",6
15 St-Prospect Park,"2,686",F G
18 Av,"3,036",D
18 Av,"2,016",F
18 Av,"2,723",N
20 Av,"2,463",D
20 Av,"1,992",N
25 Av,"2,152",D
25 St,"1,979",R
36 St,"7,507",D N R
4 Av/9 St,"6,036",F G
45 St,"4,180",R
50 St,"1,958",D
53 St,"4,985",R
55 St,"1,216",D
59 St,"6,938",N R
7 Av,"4,258",B Q
7 Av,"5,423",F G
71 St,"2,500",D
77 St,"2,671",R
79 St,"3,095",D
8 Av,"5,346",N
86 St.,"1,324",N
86 St.,"5,942",R
9 Av,"2,916",D
Alabama Av,"1,187",J
Atlantic Av,929,L
Atlantic Av-Barclays Ctr,"19,374",B D N Q R 2 3 4 5
Avenue H,"1,325",Q
Avenue I,"1,050",F
Avenue J,"3,063",Q
Avenue M,"3,085",Q
Avenue N,"1,528",F
Avenue P,"1,316",F
Avenue U,987,F
Avenue U,"2,005",N
Avenue U,"3,698",Q
Avenue X,"1,256",F
Bay 50 St,"1,384",D
Bay Pkwy,"3,795",D
Bay Pkwy,684,F
Bay Pkwy,"3,644",N
Bay Ridge Av,"3,918",R
Bay Ridge-95 St,"2,716",R
Bedford Av,"13,543",L
Bedford-Nostrand Avs,"4,224",G
Bergen St,"1,621",2 3
Bergen St,"5,011",F G
Beverley Rd,"1,732",Q
Beverly Rd,"2,213",2 5
Brighton Beach,"5,990",B Q
Broadway,"2,658",G
Broadway Junction,"3,882",A C J L Z
Bushwick Av-Aberdeen St,"1,257",L
Canarsie-Rockaway Pkwy,"3,582",L
Carroll St,"5,152",F G
Central Av,"2,013",M
Chauncey St,"1,618",J Z
Church Av,"4,906",2 5
Church Av,"8,066",B Q
Church Av,"4,910",F G
Clark St,"1,887",2 3
Classon Av,"2,766",G
Cleveland St,"1,448",J
Clinton-Washington Avs,"2,868",C
Clinton-Washington Avs,"2,487",G
Coney Island-Stillwell Av,"6,607",D F N Q
Cortelyou Rd,"3,114",Q
Court St/Borough Hall,"12,377",R
Crescent St,"2,321",J Z
Crown Heights-Utica Av,"12,614",3 4
Cypress Hills,819,J
DeKalb Av,"8,949",B Q R
DeKalb Av,"6,526",L
Ditmas Av,"2,222",F
East 105 St,"1,634",L
Eastern Pkwy-Brooklyn Museum,"1,946",2 3
Euclid Av,"4,919",A C
Flatbush Av-Brooklyn College,"8,442",2 5
Flushing Av,"1,837",G
Flushing Av,"4,426",J M
Fort Hamilton Pkwy,"2,387",D
Fort Hamilton Pkwy,"2,628",F G
Fort Hamilton Pkwy,"3,130",N
Franklin Av/Botanic Garden,"6,534",2 3 4 5
Franklin Av,"2,624",C S
Fulton St,"2,961",G
Gates Av,"3,476",J Z
Graham Av,"4,518",L
Grand Army Plaza,"3,053",2 3
Grand St,"3,536",L
Grant Av,"2,715",A
Greenpoint Av,"5,296",G
Halsey St,"2,927",J
Halsey St,"4,042",L
Hewes St,"1,572",J M
High St,"4,085",A C
Hoyt St,"3,256",2 3
Hoyt-Schermerhorn Sts,"5,261",A C G
Jay St-MetroTech,"14,340",A C F R
Jefferson St,"3,802",L
Junius St,"1,156",3
Kings Hwy,"10,331",B Q
Kings Hwy,"1,864",F
Kings Hwy,"2,720",N
Kingston Av,"2,353",3
Kingston-Throop Avs,"2,891",C
Knickerbocker Av,"2,204",M
Kosciuszko St,"2,649",J
Lafayette Av,"2,350",C
Liberty Av,"1,307",C
Livonia Av,"1,317",L
Lorimer St,"2,361",J M
Lorimer St/Metropolitan Av,"6,893",L
Marcy Av,"6,476",J M Z
Montrose Av,"3,512",L
Morgan Av,"3,532",L
Myrtle Av,"5,348",J M Z
Myrtle-Willoughby Avs,"2,955",G
Myrtle-Wyckoff Avs,"10,038",L M
Nassau Av,"4,647",G
Neck Rd,"2,077",Q
Neptune Av,777,F
Nevins St,"4,164",2 3 4 5
New Lots Av,"2,652",3
New Lots Av,"2,209",L
New Utrecht Av/62 St,"2,814",N
Newkirk Av,"3,697",2 5
Newkirk Plaza,"5,305",B Q
Norwood Av,"1,522",J Z
Nostrand Av,"1,846",3
Nostrand Av,"8,121",A C
Ocean Pkwy,"1,671",Q
Park Pl,804,S
Parkside Av,"3,159",Q
Pennsylvania Av,"2,294",3
President St,"1,818",2 5
Prospect Av,"2,828",R
Prospect Park,"4,765",B Q S
Ralph Av,"2,713",C
Rockaway Av,"2,467",3
Rockaway Av,"2,628",C
Saratoga Av,"2,760",3
Sheepshead Bay,"6,693",B Q
Shepherd Av,"1,511",C
Smith-9 Sts,"2,243",F G
Sterling St.,"2,879",2 5
Sutter Av,"1,713",L
Sutter Av-Rutland Rd,"3,422",3
Union St,"3,348",R
Utica Av,"6,989",A C
Van Siclen Av,"1,335",3
Van Siclen Av,"1,400",C
Van Siclen Av,"1,473",J Z
West 8 St-New York Aquarium,"1,285",F Q
Wilson Av,"2,310",L
Winthrop St,"4,001",2 5
York St,"4,758",F
1 Av,"11,477",L
103 St,"5,699",1
103 St,"6,897",6
103 St,"2,186",B C
110 St,"5,513",6
116 St,"4,939",2 3
116 St,"7,390",6
116 St,"3,346",B C
116 St-Columbia University,"5,814",1
125 St,"3,677",1
125 St,"6,422",2 3
125 St,"11,943",4 5 6
125 St,"13,324",A B C D
135 St,"6,412",2 3
135 St,"2,433",B C
137 St-City College,"5,763",1
14 St/8 Av,"17,710",A C E
14 St/6 Av,"18,555",F M 1 2 3
14 St-Union Sq,"39,138",L N Q R W 4 5 6
145 St,"4,840",1
145 St,"1,614",3
145 St,"10,513",A B C D
155 St,"1,837",B D
155 St,"1,259",C
157 St,"5,420",1
163 St-Amsterdam Av,"2,079",C
168 St,"12,957",A C 1
175 St,"6,270",A
18 St,"2,995",1
181 St,348,1
181 St,"6,319",A
190 St,"1,466",A
191 St,"4,612",1
2 Av,"7,189",F
207 St,"3,215",1
215 St,868,1
23 St,"5,583",1
23 St,"9,909",6
23 St,"9,310",C E
23 St,"10,426",F M
23 St,"7,231",R W
28 St,"5,068",1
28 St,"8,264",6
28 St,"4,260",R W
3 Av,"3,198",L
33 St,"11,930",6
34 St-Herald Sq,"45,739",B D F M N Q R W
34 St-Hudson Yards,"8,608",7
34 St-Penn Station,"27,237",1 2 3
34 St-Penn Station,"30,078",A C E
